snapshot_number,byte_offset,particle_count,time,x_min,y_min,z_min,x_max,y_max,z_max
249,516777924,10792,428.4084987,-30.0,-5.0,-30.0,30.0,5.0,30.0
250,518849237,10792,430.1290148,-30.0,-5.0,-30.0,30.0,5.0,30.0
251,520920014,10792,431.8495309,-30.0,-5.0,-30.0,30.0,5.0,30.0
252,522991295,10792,433.5700469,-30.0,-5.0,-30.0,30.0,5.0,30.0
253,525061957,10792,435.290563,-30.0,-5.0,-30.0,30.0,5.0,30.0
254,527131869,10792,437.011079,-30.0,-5.0,-30.0,30.0,5.0,30.0
255,529201706,10792,438.7315951,-30.0,-5.0,-30.0,30.0,5.0,30.0
256,531272902,10792,440.4521111,-30.0,-5.0,-30.0,30.0,5.0,30.0
257,533345502,10792,442.1726272,-30.0,-5.0,-30.0,30.0,5.0,30.0
258,535418459,10792,443.8931433,-30.0,-5.0,-30.0,30.0,5.0,30.0
259,537489694,10792,445.6136593,-30.0,-5.0,-30.0,30.0,5.0,30.0
260,539560679,10792,447.3341754,-30.0,-5.0,-30.0,30.0,5.0,30.0
261,541632886,10792,449.0546914,-30.0,-5.0,-30.0,30.0,5.0,30.0
262,543704649,10792,450.7752075,-30.0,-5.0,-30.0,30.0,5.0,30.0
263,545776402,10792,452.4957236,-30.0,-5.0,-30.0,30.0,5.0,30.0
264,547847936,10792,454.2162396,-30.0,-5.0,-30.0,30.0,5.0,30.0
265,549919071,10792,455.9367557,-30.0,-5.0,-30.0,30.0,5.0,30.0
266,551989396,10792,457.6572717,-30.0,-5.0,-30.0,30.0,5.0,30.0
267,554061282,10792,459.3777878,-30.0,-5.0,-30.0,30.0,5.0,30.0
268,556132140,10792,461.0983039,-30.0,-5.0,-30.0,30.0,5.0,30.0
269,558202866,10792,462.8188199,-30.0,-5.0,-30.0,30.0,5.0,30.0
270,560272738,10792,464.539336,-30.0,-5.0,-30.0,30.0,5.0,30.0
271,562342088,10792,466.259852,-30.0,-5.0,-30.0,30.0,5.0,30.0
272,564412486,10792,467.9803681,-30.0,-5.0,-30.0,30.0,5.0,30.0
273,566483283,10792,469.7008842,-30.0,-5.0,-30.0,30.0,5.0,30.0
274,568553735,10792,471.4214002,-30.0,-5.0,-30.0,30.0,5.0,30.0
275,570623417,10792,473.1419163,-30.0,-5.0,-30.0,30.0,5.0,30.0
276,572695595,10792,474.8624323,-30.0,-5.0,-30.0,30.0,5.0,30.0
277,574765892,10792,476.5829484,-30.0,-5.0,-30.0,30.0,5.0,30.0
278,576836600,10792,478.3034645,-30.0,-5.0,-30.0,30.0,5.0,30.0
279,578906584,10792,480.0239805,-30.0,-5.0,-30.0,30.0,5.0,30.0
280,580978933,10792,481.7444966,-30.0,-5.0,-30.0,30.0,5.0,30.0
281,583050938,10792,483.4650126,-30.0,-5.0,-30.0,30.0,5.0,30.0
282,585123875,10792,485.1855287,-30.0,-5.0,-30.0,30.0,5.0,30.0
283,587196839,10792,486.9060447,-30.0,-5.0,-30.0,30.0,5.0,30.0
284,589271243,10792,488.6265608,-30.0,-5.0,-30.0,30.0,5.0,30.0
285,591343258,10792,490.3470769,-30.0,-5.0,-30.0,30.0,5.0,30.0
286,593418299,10792,492.0675929,-30.0,-5.0,-30.0,30.0,5.0,30.0
287,595492870,10792,493.788109,-30.0,-5.0,-30.0,30.0,5.0,30.0
288,597566476,10792,495.508625,-30.0,-5.0,-30.0,30.0,5.0,30.0
289,599639940,10792,497.2291411,-30.0,-5.0,-30.0,30.0,5.0,30.0
290,601712138,10792,498.9496572,-30.0,-5.0,-30.0,30.0,5.0,30.0
291,603783527,10792,500.6701732,-30.0,-5.0,-30.0,30.0,5.0,30.0
292,605854166,10792,502.3906893,-30.0,-5.0,-30.0,30.0,5.0,30.0
293,607924882,10792,504.1112053,-30.0,-5.0,-30.0,30.0,5.0,30.0
294,609996117,10792,505.8317214,-30.0,-5.0,-30.0,30.0,5.0,30.0
295,612065871,10792,507.5522375,-30.0,-5.0,-30.0,30.0,5.0,30.0
296,614134552,10792,509.2727535,-30.0,-5.0,-30.0,30.0,5.0,30.0
297,616205074,10792,510.9932696,-30.0,-5.0,-30.0,30.0,5.0,30.0
298,618274678,10792,512.7137856,-30.0,-5.0,-30.0,30.0,5.0,30.0
299,620344765,10792,514.4343017,-30.0,-5.0,-30.0,30.0,5.0,30.0
300,622415354,10792,516.1548178,-30.0,-5.0,-30.0,30.0,5.0,30.0
301,624485393,10792,517.8753338,-30.0,-5.0,-30.0,30.0,5.0,30.0
302,626556739,10792,519.5958499,-30.0,-5.0,-30.0,30.0,5.0,30.0
303,628627721,10792,521.3163659,-30.0,-5.0,-30.0,30.0,5.0,30.0
304,630699331,10792,523.036882,-30.0,-5.0,-30.0,30.0,5.0,30.0
305,632770391,10792,524.757398,-30.0,-5.0,-30.0,30.0,5.0,30.0
306,634843275,10792,526.4779141,-30.0,-5.0,-30.0,30.0,5.0,30.0
307,636916133,10792,528.1984302,-30.0,-5.0,-30.0,30.0,5.0,30.0
308,638987899,10792,529.9189462,-30.0,-5.0,-30.0,30.0,5.0,30.0
309,641059427,10792,531.6394623,-30.0,-5.0,-30.0,30.0,5.0,30.0
310,643130154,10792,533.3599783,-30.0,-5.0,-30.0,30.0,5.0,30.0
311,645202420,10792,535.0804944,-30.0,-5.0,-30.0,30.0,5.0,30.0
312,647274364,10792,536.8010105,-30.0,-5.0,-30.0,30.0,5.0,30.0
313,649345830,10792,538.5215265,-30.0,-5.0,-30.0,30.0,5.0,30.0
314,651418558,10792,540.2420426,-30.0,-5.0,-30.0,30.0,5.0,30.0
315,653488876,10792,541.9625586,-30.0,-5.0,-30.0,30.0,5.0,30.0
316,655559833,10792,543.6830747,-30.0,-5.0,-30.0,30.0,5.0,30.0
317,657630504,10792,545.4035908,-30.0,-5.0,-30.0,30.0,5.0,30.0
318,659700809,10792,547.1241068,-30.0,-5.0,-30.0,30.0,5.0,30.0
319,661771639,10792,548.8446229,-30.0,-5.0,-30.0,30.0,5.0,30.0
320,663843837,10792,550.5651389,-30.0,-5.0,-30.0,30.0,5.0,30.0
321,665914431,10792,552.285655,-30.0,-5.0,-30.0,30.0,5.0,30.0
322,667986352,10792,554.0061711,-30.0,-5.0,-30.0,30.0,5.0,30.0
323,670057257,10792,555.7266871,-30.0,-5.0,-30.0,30.0,5.0,30.0
324,672128437,10792,557.4472032,-30.0,-5.0,-30.0,30.0,5.0,30.0
325,674198236,10792,559.1677192,-30.0,-5.0,-30.0,30.0,5.0,30.0
326,676269181,10792,560.8882353,-30.0,-5.0,-30.0,30.0,5.0,30.0
327,678339571,10792,562.6087514,-30.0,-5.0,-30.0,30.0,5.0,30.0
328,680410875,10792,564.3292674,-30.0,-5.0,-30.0,30.0,5.0,30.0
