size_ratio,simulation_number,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.757576,76,0.5488217656944986,0.4511964399405772,0.024425231571968877,-12.049046360533252,-9.54942921411337,-12.552692328422722,-11.054510217699592,1.5871131302863792
1.767677,77,0.5405614700785482,0.45944157918840695,0.03596133261558589,-12.061040127537877,-9.54691620179566,-12.554895266471945,-11.058313292527073,1.5900358688164755
1.777778,78,0.5493694000891987,0.4506446430479969,0.029524521723631562,-12.04519559006046,-9.574842452845537,-12.551190777415604,-11.084921597372213,1.5925985534217293
1.787879,79,0.5431669732133191,0.4569017310440566,0.0312180769895048,-12.060247293965107,-9.560973639916613,-12.554064252025398,-11.04912141032542,1.5679409984564538
1.79798,80,0.5491893613723683,0.4508648389258114,0.03226447043012436,-12.045073786609063,-9.556158094386058,-12.527778494065968,-11.104177111263326,1.6215322109704509
1.808081,81,0.5553942799202631,0.4446180647957226,0.041402567778200845,-12.045024438935119,-9.565966946369059,-12.558544729954518,-11.095849016653068,1.6137664757532708
1.818182,82,0.5498310064493035,0.45024968698437545,0.01677355467198109,-12.02643762382925,-9.581311907958094,-12.54780692594019,-11.082316223007648,1.588974481538653
1.828283,83,0.5487336913331813,0.4513326720763185,0.01789907277696609,-12.043031934843723,-9.586431760266478,-12.565286985335897,-11.073181586523534,1.5758094376034073
1.838384,84,0.553841540933431,0.44622253459177613,0.016395142058551637,-12.065630183594042,-9.583270869275383,-12.564656128713791,-11.102853490188407,1.5994243450953076
1.848485,85,0.554128808270102,0.4459480158001197,0.007119443932307196,-12.034109918507268,-9.607349907581751,-12.544243970974676,-11.10604239605276,1.583134841536326
1.858586,86,0.5501091059468567,0.4499714358286097,0.016853466225477065,-12.081232103600131,-9.55766313795018,-12.545835438596496,-11.098864472041686,1.609707368155834
1.868687,87,0.5578544703345082,0.442185211083545,0.021799188052084795,-12.05029910205318,-9.581175508036246,-12.530494133917093,-11.134363591174832,1.6257246046703302
1.878788,88,0.5633228518352404,0.43671634750220145,0.006193231707432327,-12.043458033596496,-9.610460451799845,-12.535338062836754,-11.14257135201864,1.6091332367876328
1.888889,89,0.5548751347589297,0.445137829000965,0.019178579370020443,-12.073269697921264,-9.60024601120086,-12.554437565508563,-11.102744639421905,1.5776643003518314
1.89899,90,0.5580769810362736,0.44196473494456195,0.01378992994521565,-12.058738075139955,-9.617502908374322,-12.535429971074567,-11.143718417318139,1.5989274353110496
1.909091,91,0.5600612991319047,0.4399708282646647,0.010355480153856744,-12.037781949551375,-9.616725684012032,-12.541843955412336,-11.14588177250918,1.6100921864106017
1.919192,92,0.5649753688942074,0.4350433901605104,0.021411898800179033,-12.079851426770682,-9.57630026959808,-12.55642364760464,-11.132470932785603,1.627509820135075
1.929293,93,0.5614655769897539,0.4385952068935793,-0.0025319750771520995,-12.05238229396991,-9.604526803598592,-12.566500138154174,-11.11858061239997,1.598960941879018
1.939394,94,0.5642012088046708,0.4358122825491202,0.02404758119440003,-12.062817767272506,-9.616588716506168,-12.530940037302672,-11.180247782977585,1.632227966877316
1.949495,95,0.5645641923122524,0.4355077456579999,0.01810163730784066,-12.056085859678618,-9.611191916824193,-12.543437912414957,-11.145014070436739,1.6093857282264408
1.959596,96,0.5698071724676198,0.4302186928929831,0.003376392459648143,-12.044719642716665,-9.629700866063056,-12.528063231923712,-11.174558512984474,1.618705091880276
1.969697,97,0.566082032372709,0.4339357145946656,0.0237186114610605,-12.053852491205383,-9.622120511185969,-12.551422687129453,-11.152398689165269,1.6091387143038858
1.979798,98,0.5675925434267729,0.43241503117190205,0.02415485543549471,-12.060051875352222,-9.638779325961925,-12.548211871926013,-11.175210638327998,1.6121170428581963
1.989899,99,0.5659165166351697,0.43412531352583117,0.008907843419188939,-12.04480811753024,-9.65527597723483,-12.51532647024666,-11.211361852360024,1.6256662544960196
2.0,100,0.5762622727357212,0.42381466632018117,0.012547783366446151,-12.037509692898965,-9.635155852723978,-12.53575962746201,-11.179719955537697,1.6229390823419187
