size_ratio,normalised_l1_separation,overlap_fraction,small_large_spatial_correlation,small_centre_x,small_centre_z,large_centre_x,large_centre_z,centre_of_mass_separation
1.4849999999999999,0.4649235077227064,0.5350764922772935,0.2545593102120458,-12.054900116119356,-9.509936860996433,-12.577025336198847,-10.83272458144763,1.4221048128810803
1.49,0.4670813522419011,0.5329186477580988,0.2508775820251664,-12.054100470363956,-9.51037468974924,-12.57694674369313,-10.837673820924659,1.4265662302021687
1.495,0.46919981399295685,0.5308001860070432,0.24727660040454846,-12.053327203038128,-9.510859645445494,-12.57686033755116,-10.842555021531266,1.430908633568638
1.5,0.47127996817625106,0.5287200318237488,0.24375379348283985,-12.052579709116706,-9.511389018933501,-12.576767221695853,-10.847369935309827,1.4351367730169968
1.505,0.47332277430264735,0.5266772256973525,0.24020280654243648,-12.05185741371714,-9.511960192611769,-12.576668373565658,-10.852120443153572,1.4392553771688301
1.51,0.475329852399657,0.5246701476003429,0.23693305509806478,-12.051159773102114,-9.51257064551641,-12.576564646982867,-10.856808537759699,1.4432691337516814
1.5150000000000001,0.47730149759067714,0.5226985024093229,0.23352641970456617,-12.050486275295379,-9.513217957789749,-12.576456775771362,-10.861436305737758,1.4471826702647512
1.52,0.4792391320847852,0.5207608679152149,0.2303973355961831,-12.049836440352978,-9.513899814546237,-12.576345378025202,-10.866005909057474,1.451000534894169
1.525,0.4811437267024894,0.5188562732975104,0.2271268056758389,-12.049209820330212,-9.514614009151128,-12.57623096093151,-10.87051956603143,1.4547271777964326
1.53,0.4830150988134644,0.5169849011865356,0.22402599274762247,-12.048605998981806,-9.515358445926035,-12.576113926054378,-10.874979532036505,1.4583669328809594
1.5350000000000001,0.4848545058967378,0.5151454941032622,0.2208840778128884,-12.048024591230304,-9.51613114229484,-12.575994574990123,-10.87938808018343,1.4619240002314475
1.54,0.486664807608773,0.513335192391227,0.21769890286340157,-12.047465242434615,-9.516930230382215,-12.575873115309124,-10.88374748214627,1.4654024293127141
