size_ratio,bulk_integrated_volume,small_integrated_volume,large_integrated_volume,bulk_minimum,small_minimum,large_minimum,bulk_maximum,small_maximum,large_maximum,bulk_fraction_below_minus_1e_5,small_fraction_below_minus_1e_5,large_fraction_below_minus_1e_5,pointwise_identity_error
1.355,565.5376994218826,282.75679489261097,282.7809045292717,-2.17998953924395e-07,-1.3646389684063294e-07,-8.348776126298181e-07,0.5617517217893864,0.5066889910848689,0.41077526595889235,0.0,0.0,0.0,0.0
1.3599999999999999,565.5380337502602,282.7567160272235,282.7813177230367,-2.04863429733213e-07,-1.4429854495880448e-07,-8.116281092918797e-07,0.5618466766019975,0.5077289850057771,0.4120219681035287,0.0,0.0,0.0,0.0
1.365,565.538373444346,282.75664043778414,282.7817330065618,-1.9682485991004244e-07,-1.517150163333983e-07,-8.029830255276405e-07,0.5619425179395566,0.5087287207468507,0.4132495917559794,0.0,0.0,0.0,0.0
1.37,565.5387180263758,282.75656803461,282.7821499917658,-1.9518714895513076e-07,-1.5869799420601902e-07,-7.929296880256301e-07,0.5620392166196394,0.5096887535174475,0.41445793776175266,0.0,0.0,0.0,0.0
1.375,565.5390669976953,282.7564987275078,282.7825682701875,-2.005957085543442e-07,-1.652346204938174e-07,-7.815150835700763e-07,0.562136740911793,0.5106096940744849,0.4156468733985596,0.0,0.0,0.0,0.0
1.38,565.5394198423204,282.75643242558874,282.7829874167317,-2.0590688461823566e-07,-1.7131441182834603e-07,-7.687873641579539e-07,0.562235056834414,0.5114922087417246,0.41681633057906564,0.0,0.0,0.0,0.0
1.385,565.5397760304639,282.7563690371566,282.78340699330727,-2.1110908100547926e-07,-1.769291567623264e-07,-7.547959260152447e-07,0.5623341284666181,0.5123370183006084,0.41796630320155165,0.0,0.0,0.0,0.0
1.3900000000000001,565.5401350220078,282.75630846966254,282.78382655234526,-2.1618951078503604e-07,-1.8207279718472396e-07,-7.395914455363746e-07,0.562433918272559,0.5131448959002606,0.4190968437857863,0.0,0.0,0.0,0.0
1.395,565.540496269903,282.75625062971613,282.78424564018684,-2.2113438462355603e-07,-1.867412969928005e-07,-7.232258756305725e-07,0.5625343874354426,0.5139166641371661,0.42020805953229934,0.0,0.0,0.0,0.0
1.4,565.5408592234766,282.7561954231466,282.78466380033,-2.259290897165981e-07,-1.9093250099803226e-07,-7.057524063276129e-07,0.5626354961982726,0.514653191453477,0.4213001079402413,0.0,0.0,0.0,0.0
1.405,565.5412233316337,282.75614275510304,282.7850805765306,-2.3055835907743885e-07,-1.9486348642622693e-07,-6.872253937078519e-07,0.5627372042081549,0.5153553879976216,0.42237319211273566,0.0,0.0,0.0,0.0
1.4100000000000001,565.5415880459353,282.756092530189,282.7854955157463,-2.3500643111296982e-07,-1.9927240892160248e-07,-6.677002613034533e-07,0.5628394708608133,0.5160242010825993,0.42342755586973724,0.0,0.0,0.0,0.0
1.415,565.5419528235412,282.7560446526209,282.78590817092027,-2.3925719950071955e-07,-2.032334490198887e-07,-0.00011751105805168915,0.5629422556418254,0.5166606103667836,0.4244634787775544,0.0,0.0,0.0002,0.0
1.42,565.5423171300013,282.7559990264062,282.78631810359514,-2.4329435344216255e-07,-2.067496685739524e-07,-0.0003285913240914651,0.5630455184609878,0.5172911909219199,0.4254812711919887,0.0,0.0,0.0004,0.0
1.425,565.5426804418851,282.7559555555338,282.7867248863513,-2.471015084116685e-07,-2.098252190307381e-07,-0.0005160938185437836,0.5631492199761837,0.5179260231568744,0.4264812693990838,0.0,0.0,0.0004,0.0
1.43,565.5430422492349,282.7559141441718,282.78712810506295,-2.506623275527694e-07,-2.1246519641794968e-07,-0.0006810814415599831,0.5632533219031418,0.5185308948605534,0.4274638309242502,0.0,0.0,0.0005,0.0
1.435,565.5434020578343,282.7558746968692,282.78752736096504,-2.539606338980408e-07,-2.1467550160774225e-07,-0.0008246160092644228,0.5633577873075621,0.519106851288743,0.42842933006747735,0.0,0.0,0.0006,0.0
1.44,565.5437593912797,282.7558371187551,282.7879222725245,-2.569805136087703e-07,-2.164627068964639e-07,-0.0009477560934824658,0.5634625808762365,0.5196549468443866,0.4293781537098177,0.0,0.0,0.001,0.0
1.445,565.5441137928467,282.755801315736,282.78831247711065,-2.5970641044808603e-07,-2.1783392969618355e-07,-0.0010515548524749896,0.5635676691640046,0.5201762401767839,0.4303106974245944,0.0,0.0,0.001,0.0
1.45,565.5444648271458,282.75576719468523,282.7886976324605,-2.621232117177441e-07,-2.1879671391155265e-07,-0.001137057877830805,0.5636730208136722,0.5207116428284301,0.4312273619160505,0.0,0.0,0.0012,0.0
1.455,565.5448120815596,282.75573466362516,282.7890774179345,-2.64216325905322e-07,-2.1935891937703633e-07,-0.00120530107789113,0.5637786067463503,0.5212417091264315,0.43212854979854975,0.0,0.0,0.0012,0.0
1.46,565.545155167459,282.7557036318989,282.78945153556003,-2.659717523054423e-07,-2.1952861955598555e-07,-0.0012573086139356926,0.5638844003200655,0.5217932345613521,0.4330146627210256,0.0,0.0,0.0014,0.0
1.465,565.5454937211958,282.75567401033175,282.78981971086415,-2.673761428959088e-07,-2.1931400755465197e-07,-0.0012940909018538949,0.563990377454924,0.5223212499378305,0.4338860988341868,0.0,0.0,0.0016,0.0
1.47,565.5458274048743,282.75564571138136,282.7901816934929,-2.6841685676688065e-07,-2.1872331038050547e-07,-0.0013166426891326188,0.5640965167235759,0.5228263689324975,0.43474325059199104,0.0,0.0,0.0016,0.0
1.475,565.5461559068989,282.7556186492757,282.7905372576232,-2.690820074179058e-07,-2.1776471127379866e-07,-0.0013259412146618965,0.5642027994062179,0.5233095729048307,0.43558650287405193,0.0,0.0,0.0016,0.0
1.48,565.546478942308,282.75559274013915,282.7908862021689,-2.693605032530567e-07,-2.1644627986257996e-07,-0.001322944457052444,0.5643092095098757,0.5237718215134162,0.43641623141186214,0.0,0.0,0.0017,0.0
1.4849999999999999,565.5467962528973,282.755567902108,282.79122835078937,-2.692420816178131e-07,-2.1477590983219688e-07,-0.001308589475788935,0.5644157337522152,0.5242140501765019,0.4372328014989179,0.0,0.0,0.0018,0.0
1.49,565.5471076071385,282.75554405543164,282.7915635517068,-2.687173367318829e-07,-2.1276126375857974e-07,-0.0012837908485566762,0.5645223615106318,0.5246371678725252,0.43803656696290083,0.0,0.0,0.0018,0.0
