field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
bulk,1,20,18,1.181818,0.9960156281108246,0.0017181115259688904,0.00589016199304991,0.00417205046708102
bulk,1,20,23,1.232323,0.9960156281108246,0.00196893374964661,0.006101955264106674,0.004133021514460064
bulk,1,20,29,1.292929,0.9960156281108246,0.001942677523344285,0.0028694932766172763,0.0009268157532729912
bulk,1,20,34,1.343434,0.9960156281108246,0.0022343491084508564,0.004486631882626352,0.0022522827741754954
bulk,1,20,40,1.40404,0.9960156281108246,0.0017501093147820686,0.00323900485632765,0.0014888955415455814
bulk,1,20,46,1.464646,0.9960156281108246,0.0016452498736404817,0.005247766097852267,0.0036025162242117855
bulk,1,20,51,1.515152,0.9960156281108246,0.001642051384880274,0.0029654420636387197,0.0013233906787584457
bulk,1,20,57,1.575758,0.9960156281108246,0.002030679305000263,0.004713418120010044,0.002682738815009781
bulk,1,20,62,1.626263,0.9960156281108246,0.0017334626120597025,0.004834301231894667,0.0031008386198349645
bulk,1,20,68,1.686869,0.9960156281108246,0.0015799346955761035,0.004526640827950328,0.0029467061323742248
bulk,1,20,73,1.737374,0.9960156281108246,0.0018435757675139021,0.003926503503174148,0.0020829277356602454
bulk,1,20,79,1.79798,0.9960156281108246,0.001641456690743163,0.004191889187943872,0.002550432497200709
bulk,1,20,84,1.848485,0.9960156281108246,0.0018809245487463864,0.004364016366965191,0.0024830918182188045
bulk,1,20,90,1.909091,0.9960156281108246,0.0020702798008913415,0.004636804397658606,0.0025665245967672647
bulk,1,20,96,1.969697,0.9960156281108246,0.0017715992682530762,0.0035361667517743085,0.0017645674835212323
bulk,2,1,2,1.020202,0.9446636704228802,0.009843092001709021,0.009900020544985124,5.692854327610242e-05
bulk,2,1,8,1.080808,0.9446636704228802,0.007544134591954917,0.007568066300615829,2.3931708660912543e-05
bulk,2,1,13,1.131313,0.9446636704228802,0.003237973387500128,0.0033096864198762705,7.171303237614272e-05
bulk,2,1,19,1.191919,0.9446636704228802,0.005598295961382567,0.005876295542022812,0.0002779995806402452
bulk,2,1,24,1.242424,0.9446636704228802,0.006755279008390959,0.007762968043614701,0.0010076890352237414
bulk,2,1,30,1.30303,0.9446636704228802,0.0052301465694417374,0.005269749346537658,3.960277709592029e-05
bulk,2,1,36,1.363636,0.9446636704228802,0.002794924143207418,0.0028773308069604785,8.240666375306047e-05
bulk,2,1,41,1.414141,0.9446636704228802,0.004743371646206915,0.004753915466058632,1.0543819851716908e-05
bulk,2,1,47,1.474747,0.9446636704228802,0.0036455752863876712,0.0037013431765683977,5.576789018072641e-05
bulk,2,1,52,1.525253,0.9446636704228802,0.005213750828089423,0.005216270018002248,2.519189912825355e-06
bulk,2,1,58,1.585859,0.9446636704228802,0.003230488733156053,0.003279686616174233,4.919788301818023e-05
bulk,2,1,63,1.636364,0.9446636704228802,0.003079216449323763,0.0031342211522105722,5.500470288680908e-05
bulk,2,1,69,1.69697,0.9446636704228802,0.003256544853944681,0.004067804598361783,0.0008112597444171021
bulk,2,1,74,1.747475,0.9446636704228802,0.0023529165393624827,0.002398433258503581,4.551671914109845e-05
bulk,2,1,80,1.808081,0.9446636704228802,0.002385937814349346,0.0023892075349025888,3.269720553242695e-06
bulk,2,1,86,1.868687,0.9446636704228802,0.0031186851289237995,0.0032152179235501433,9.653279462634376e-05
bulk,2,1,91,1.919192,0.9446636704228802,0.00415086247535082,0.004297644161505615,0.00014678168615479478
bulk,2,1,97,1.979798,0.9446636704228802,0.004125575836721676,0.0041308781500719715,5.302313350295795e-06
bulk,2,2,2,1.020202,0.9735781939759041,0.003481195374364327,0.003649078323717765,0.00016788294935343772
bulk,2,2,8,1.080808,0.9735781939759041,0.0026905752244465466,0.003360779025149496,0.0006702038007029495
bulk,2,2,13,1.131313,0.9735781939759041,0.0030598244733715447,0.0034385650040959915,0.00037874053072444683
bulk,2,2,19,1.191919,0.9735781939759041,0.004948482036775389,0.005378329852657354,0.000429847815881965
bulk,2,2,24,1.242424,0.9735781939759041,0.003609413553341496,0.006478113182544362,0.002868699629202866
bulk,2,2,30,1.30303,0.9735781939759041,0.0032496401865656417,0.004219931623350805,0.000970291436785163
bulk,2,2,36,1.363636,0.9735781939759041,0.002136962929975456,0.0023073474398624667,0.00017038450988701064
bulk,2,2,41,1.414141,0.9735781939759041,0.003015205796372046,0.003049634725144496,3.4428928772449983e-05
bulk,2,2,47,1.474747,0.9735781939759041,0.003191748159245034,0.0038725215611782526,0.0006807734019332184
bulk,2,2,52,1.525253,0.9735781939759041,0.004403207412191166,0.004717074526413931,0.0003138671142227647
bulk,2,2,58,1.585859,0.9735781939759041,0.0031670770232789256,0.003236318348605996,6.924132532707024e-05
bulk,2,2,63,1.636364,0.9735781939759041,0.003044507302895805,0.003355557349199949,0.0003110500463041439
bulk,2,2,69,1.69697,0.9735781939759041,0.002769223428834505,0.003914107999432136,0.0011448845705976309
bulk,2,2,74,1.747475,0.9735781939759041,0.0021832307456638974,0.0022859225488683402,0.00010269180320444287
bulk,2,2,80,1.808081,0.9735781939759041,0.002378994487927341,0.0029571783358698805,0.0005781838479425394
bulk,2,2,86,1.868687,0.9735781939759041,0.0027842886848907897,0.0029778508942117053,0.00019356220932091562
bulk,2,2,91,1.919192,0.9735781939759041,0.0035000732761071,0.004790914163430072,0.0012908408873229717
bulk,2,2,97,1.979798,0.9735781939759041,0.004087318352379178,0.00430164291255384,0.00021432456017466198
bulk,2,3,2,1.020202,0.9800378009591952,0.003295435848234259,0.0037441882622205867,0.0004487524139863276
bulk,2,3,8,1.080808,0.9800378009591952,0.002592664665107038,0.0032865354840053034,0.0006938708188982652
bulk,2,3,13,1.131313,0.9800378009591952,0.0026851741415440857,0.003162431817784633,0.0004772576762405471
bulk,2,3,19,1.191919,0.9800378009591952,0.0033209461456440758,0.004814636667311136,0.00149369052166706
bulk,2,3,24,1.242424,0.9800378009591952,0.0026769005184588057,0.006564778585515854,0.0038878780670570483
bulk,2,3,30,1.30303,0.9800378009591952,0.0031892884801577323,0.004421692435276493,0.001232403955118761
