size_ratio,coefficient_1,coefficient_2,coefficient_3,coefficient_4,coefficient_5,coefficient_6
1.646465,1.5394472596459876,-0.050904212783869134,-0.039929224445843486,-0.04183706229272059,0.0574684135614917,0.037666797209457765
1.656566,1.4642571317192175,0.005565164015486637,-0.08497678565933107,-0.008801761856444474,-0.00886883418850204,-0.03618758650413131
1.666667,1.6170164288940878,-0.07842381953513125,-0.02059791483293395,0.00035617137960676504,0.058677029270318065,0.05805881113850366
1.676768,1.6291229004643297,-0.07203542011955495,-0.09668925445888041,-0.02408402107631963,-0.041126356735256775,0.035631823339668973
1.686869,1.564882786195887,-0.07821607451585869,-0.054685413731001914,-0.0325317771545751,-0.0004645744617470741,-0.035715033386011785
1.69697,1.6346241900922067,-0.10955795596348378,-0.03357836978923644,-0.029505364829366627,0.052198736775678385,-0.023833280338278428
1.707071,1.7183703027493697,-0.13120671513358337,-0.07021584391071806,0.011269283720288376,-0.03848220692604787,0.019610574053389684
1.717172,1.6950978694960044,-0.10250864796086825,-0.08033232152350996,-0.05453709610841802,0.017362510158279932,0.00394553961156588
1.727273,1.7231571170821625,-0.1525769255119628,-0.04867098667734752,-0.05310430227360454,-0.02086271735538489,0.031792888471147286
1.737374,1.8661595221414866,-0.22358014821829666,-0.036043165559209694,-0.06956500696411695,0.030859466911189497,-0.004977034095579697
1.747475,1.7766347286929158,-0.20720253875100317,-0.02593137124552659,-0.030012808262232068,0.01579923187077083,0.004052160288871923
1.757576,1.9146424306577752,-0.23720592813926455,-0.06909446232415743,-0.0745576830554297,-0.04175396055221909,0.007490517371692299
1.767677,1.7977147015169899,-0.2281384952880733,0.006032678504598501,-0.03438686519182534,0.03794781357108229,0.0036669547459717046
1.777778,1.9209157759148432,-0.2700740894794834,-0.004402144123564021,-0.06703267880524362,0.00962398390873068,0.009036300550312347
1.787879,1.8342553736819958,-0.20305850855444435,-0.05274594799107063,-0.05562617915724871,-0.03175926193876387,-0.03036212472536388
1.79798,1.9360165423958966,-0.28141616895144933,0.01320984637024122,0.03930359202220202,0.023265990000181622,0.030356924643460795
1.808081,2.021379914071683,-0.3168436261871132,0.009866162529573277,0.017774784514376155,0.023756501613337064,0.005453467006158552
1.818182,1.946776732149318,-0.2842213877858049,0.007609862982995479,0.01811636020406112,0.015845180269881836,0.021751426945111202
1.828283,1.9254992237344108,-0.27098845483797973,0.010300599177168232,0.03852460175308722,-0.025037531047997545,0.009786410100800568
1.838384,1.9665334069062779,-0.38230448721347954,0.050646569283662846,-0.048106140292874966,-0.008348126512191856,-0.034975460884676506
