fold,rank,training_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error
2,1,77,1.777778,0.9647325981770498,0.018846482995363227,0.01937078448929754,0.0005243014939343114
2,1,82,1.828283,0.9647325981770498,0.0187337283436396,0.018843595933192375,0.00010986758955277426
2,1,87,1.878788,0.9647325981770498,0.029296490208214752,0.029666879356285532,0.0003703891480707801
2,1,92,1.929293,0.9647325981770498,0.029036500182869237,0.029095122086712815,5.862190384357813e-05
2,1,97,1.979798,0.9647325981770498,0.03674181689535763,0.03676714230764782,2.5325412290187754e-05
2,2,2,1.020202,0.9967672122256948,0.01561511900035122,0.01988523827467638,0.004270119274325159
2,2,7,1.070707,0.9967672122256948,0.006716136906068279,0.011726960670314045,0.005010823764245767
2,2,12,1.121212,0.9967672122256948,0.015258842756367862,0.01801126461530697,0.0027524218589391088
2,2,17,1.171717,0.9967672122256948,0.014072019167899106,0.014137261570911478,6.524240301237182e-05
2,2,22,1.222222,0.9967672122256948,0.00858332693024831,0.01064271398695361,0.0020593870567053012
2,2,27,1.272727,0.9967672122256948,0.010446290871994161,0.011886203383390788,0.0014399125113966262
2,2,32,1.323232,0.9967672122256948,0.008069606735586972,0.01248229996006368,0.004412693224476709
2,2,37,1.373737,0.9967672122256948,0.007305782944913318,0.011671054770995703,0.004365271826082385
2,2,42,1.424242,0.9967672122256948,0.008785287974414344,0.012580491703709293,0.0037952037292949495
2,2,47,1.474747,0.9967672122256948,0.010108288479626122,0.013406939160922735,0.003298650681296613
2,2,52,1.525253,0.9967672122256948,0.008023382520731833,0.00945022220291137,0.001426839682179536
2,2,57,1.575758,0.9967672122256948,0.0077257425387505015,0.007742327241846723,1.6584703096221044e-05
2,2,62,1.626263,0.9967672122256948,0.009386022735493143,0.010301933098689932,0.0009159103631967893
2,2,67,1.676768,0.9967672122256948,0.008610387875786095,0.008757367980874928,0.00014698010508883315
2,2,72,1.727273,0.9967672122256948,0.006879072162332299,0.007132557694111778,0.0002534855317794793
2,2,77,1.777778,0.9967672122256948,0.006124365681090502,0.007199453785914844,0.001075088104824342
2,2,82,1.828283,0.9967672122256948,0.005663025454319683,0.007319598607115549,0.001656573152795866
2,2,87,1.878788,0.9967672122256948,0.006472306230643018,0.008181497325863735,0.0017091910952207164
2,2,92,1.929293,0.9967672122256948,0.007216782950690443,0.007694086755702289,0.00047730380501184635
2,2,97,1.979798,0.9967672122256948,0.011140103204167534,0.011284640455029952,0.00014453725086241778
2,3,2,1.020202,0.9980913116762256,0.011830052642270305,0.015611296576863406,0.003781243934593101
2,3,7,1.070707,0.9980913116762256,0.0053956407716060405,0.009992886082364805,0.004597245310758765
2,3,12,1.121212,0.9980913116762256,0.01212514000827224,0.01635404418229352,0.004228904174021279
2,3,17,1.171717,0.9980913116762256,0.01262635047226034,0.012719642238893504,9.329176663316376e-05
2,3,22,1.222222,0.9980913116762256,0.008285667756612984,0.014462832868718814,0.00617716511210583
2,3,27,1.272727,0.9980913116762256,0.008865098574259975,0.008931999882590878,6.690130833090363e-05
2,3,32,1.323232,0.9980913116762256,0.007537697109965024,0.014520007992686603,0.006982310882721578
2,3,37,1.373737,0.9980913116762256,0.00680893710738903,0.010675554776125125,0.0038666176687360944
2,3,42,1.424242,0.9980913116762256,0.00877479576334656,0.01590211476991513,0.00712731900656857
2,3,47,1.474747,0.9980913116762256,0.006457574448967267,0.008883778600232116,0.002426204151264849
2,3,52,1.525253,0.9980913116762256,0.006543072290078495,0.009921872157491952,0.003378799867413457
2,3,57,1.575758,0.9980913116762256,0.005090527530197741,0.005241461131248352,0.000150933601050611
2,3,62,1.626263,0.9980913116762256,0.005760024035271429,0.007578627644984616,0.0018186036097131873
2,3,67,1.676768,0.9980913116762256,0.005519930711747901,0.0061130667842110315,0.0005931360724631303
2,3,72,1.727273,0.9980913116762256,0.005918494096376666,0.006100943372423888,0.00018244927604722187
2,3,77,1.777778,0.9980913116762256,0.0060886991620907275,0.007646264479070828,0.0015575653169801005
2,3,82,1.828283,0.9980913116762256,0.00561728337200657,0.007041052435391386,0.0014237690633848157
2,3,87,1.878788,0.9980913116762256,0.005529470425552304,0.007794870737359123,0.002265400311806819
