field,fold,rank,original_index,size_ratio,captured_energy,projection_error,surrogate_error,excess_error,random_state
bulk,1,15,96,1.969697,0.9945443192037455,0.001965978993452577,0.003920009485567527,0.0019540304921149497,1115
bulk,1,20,1,1.010101,0.9960156281108246,0.0023023137297362435,0.00953565890812809,0.007233345178391847,1120
bulk,1,20,7,1.070707,0.9960156281108246,0.0020239492425679203,0.005491845034358251,0.0034678957917903307,1120
bulk,1,20,12,1.121212,0.9960156281108246,0.001956536135856523,0.0044858648210341625,0.0025293286851776394,1120
bulk,1,20,18,1.181818,0.9960156281108246,0.0017181115259688904,0.002648543624344333,0.0009304320983754425,1120
bulk,1,20,23,1.232323,0.9960156281108246,0.00196893374964661,0.0036013155063711584,0.0016323817567245485,1120
bulk,1,20,29,1.292929,0.9960156281108246,0.001942677523344285,0.0030319826520383993,0.0010893051286941142,1120
bulk,1,20,34,1.343434,0.9960156281108246,0.0022343491084508564,0.005760981982706945,0.003526632874256089,1120
bulk,1,20,40,1.40404,0.9960156281108246,0.0017501093147820686,0.003989461101146936,0.0022393517863648674,1120
bulk,1,20,46,1.464646,0.9960156281108246,0.0016452498736404817,0.005613538579049507,0.003968288705409025,1120
bulk,1,20,51,1.515152,0.9960156281108246,0.001642051384880274,0.002818880703270585,0.0011768293183903112,1120
bulk,1,20,57,1.575758,0.9960156281108246,0.002030679305000263,0.004482410775113971,0.0024517314701137083,1120
bulk,1,20,62,1.626263,0.9960156281108246,0.0017334626120597025,0.005209090184357951,0.003475627572298249,1120
bulk,1,20,68,1.686869,0.9960156281108246,0.0015799346955761035,0.004310962610775643,0.00273102791519954,1120
bulk,1,20,73,1.737374,0.9960156281108246,0.0018435757675139021,0.0034321761333848933,0.0015886003658709912,1120
bulk,1,20,79,1.79798,0.9960156281108246,0.001641456690743163,0.0032536734790118735,0.0016122167882687104,1120
bulk,1,20,84,1.848485,0.9960156281108246,0.0018809245487463864,0.003581517844465754,0.0017005932957193676,1120
bulk,1,20,90,1.909091,0.9960156281108246,0.0020702798008913415,0.0034265606673699097,0.0013562808664785682,1120
bulk,1,20,96,1.969697,0.9960156281108246,0.0017715992682530762,0.003286221416232457,0.001514622147979381,1120
bulk,2,1,2,1.020202,0.9446636704228802,0.009843092001709021,0.009855986475639664,1.28944739306424e-05,1201
bulk,2,1,8,1.080808,0.9446636704228802,0.007544134591954917,0.00761323445523554,6.909986328062362e-05,1201
bulk,2,1,13,1.131313,0.9446636704228802,0.003237973387500128,0.0035729792058182526,0.00033500581831812483,1201
bulk,2,1,19,1.191919,0.9446636704228802,0.005598295961382567,0.006198552300466519,0.0006002563390839523,1201
bulk,2,1,24,1.242424,0.9446636704228802,0.006755279008390959,0.007371598203194147,0.0006163191948031881,1201
bulk,2,1,30,1.30303,0.9446636704228802,0.0052301465694417374,0.005230157504350213,1.093490847522971e-08,1201
bulk,2,1,36,1.363636,0.9446636704228802,0.002794924143207418,0.0031923987545276742,0.0003974746113202562,1201
bulk,2,1,41,1.414141,0.9446636704228802,0.004743371646206915,0.004991420424567777,0.0002480487783608617,1201
bulk,2,1,47,1.474747,0.9446636704228802,0.0036455752863876712,0.0036501126689331407,4.537382545469464e-06,1201
bulk,2,1,52,1.525253,0.9446636704228802,0.005213750828089423,0.005244423462930171,3.0672634840748364e-05,1201
bulk,2,1,58,1.585859,0.9446636704228802,0.003230488733156053,0.003232957739001669,2.469005845616261e-06,1201
bulk,2,1,63,1.636364,0.9446636704228802,0.003079216449323763,0.0030810656157549366,1.8491664311734782e-06,1201
bulk,2,1,69,1.69697,0.9446636704228802,0.003256544853944681,0.003607585568205509,0.00035104071426082795,1201
bulk,2,1,74,1.747475,0.9446636704228802,0.0023529165393624827,0.0027104109818484904,0.00035749444248600777,1201
bulk,2,1,80,1.808081,0.9446636704228802,0.002385937814349346,0.002446796743007521,6.0858928658175104e-05,1201
bulk,2,1,86,1.868687,0.9446636704228802,0.0031186851289237995,0.003155791246745755,3.710611782195561e-05,1201
bulk,2,1,91,1.919192,0.9446636704228802,0.00415086247535082,0.004455825649457178,0.0003049631741063579,1201
bulk,2,1,97,1.979798,0.9446636704228802,0.004125575836721676,0.004244860858037353,0.00011928502131567688,1201
bulk,2,2,2,1.020202,0.9735781939759041,0.003481195374364327,0.0036177231432465186,0.00013652776888219142,1202
bulk,2,2,8,1.080808,0.9735781939759041,0.0026905752244465466,0.004270452684433906,0.0015798774599873598,1202
bulk,2,2,13,1.131313,0.9735781939759041,0.0030598244733715447,0.003111471313192101,5.1646839820556224e-05,1202
bulk,2,2,19,1.191919,0.9735781939759041,0.004948482036775389,0.0053033470922331915,0.00035486505545780263,1202
bulk,2,2,24,1.242424,0.9735781939759041,0.003609413553341496,0.0054572908086632154,0.0018478772553217194,1202
bulk,2,2,30,1.30303,0.9735781939759041,0.0032496401865656417,0.003553921162787287,0.0003042809762216453,1202
bulk,2,2,36,1.363636,0.9735781939759041,0.002136962929975456,0.002456488863913109,0.0003195259339376531,1202
bulk,2,2,41,1.414141,0.9735781939759041,0.003015205796372046,0.003985576293140716,0.00097037049676867,1202
bulk,2,2,47,1.474747,0.9735781939759041,0.003191748159245034,0.003204006615613804,1.2258456368769832e-05,1202
bulk,2,2,52,1.525253,0.9735781939759041,0.004403207412191166,0.0046125419194328,0.00020933450724163437,1202
bulk,2,2,58,1.585859,0.9735781939759041,0.0031670770232789256,0.003198451745764465,3.137472248553952e-05,1202
bulk,2,2,63,1.636364,0.9735781939759041,0.003044507302895805,0.0030731794838112147,2.867218091540981e-05,1202
