size_ratio,simulation_number,bulk_mean_phi,small_mean_phi,bulk_integrated_volume,small_integrated_volume,difference_integrated_volume,inferred_large_integrated_volume,bulk_to_small_integral_ratio,minimum_bulk_minus_small,maximum_bulk_minus_small,mean_absolute_bulk_small_difference,fraction_bulk_below_small,active_region_correlation,bulk_nonzero_fraction,small_nonzero_fraction
1.373737,38,0.12982486678896218,0.06490924826581912,565.5171197327194,282.74468544590815,282.77243428681123,282.77243428681123,2.0000981409813567,0.0,0.41926699999999995,0.06491561852314306,0.0,0.8044509674071934,0.4276,0.4263
1.383838,39,0.1298376466795862,0.06491510013022858,565.5727889362776,282.7701761672757,282.80261276900177,282.80261276900177,2.000114710123132,0.0,0.41700499999999996,0.0649225465493576,0.0,0.8077824368981088,0.4351,0.4336
1.393939,40,0.12982912048303144,0.06491173865315748,565.535648824085,282.75553357315397,282.7801152509309,282.7801152509309,2.0000869361510505,0.0,0.421373,0.06491738182987394,0.0,0.7962538897625934,0.4261,0.4259
1.40404,41,0.12983064845344638,0.0649114044515979,565.5423046632125,282.75407779116046,282.788226872052,282.788226872052,2.0001207730801207,0.0,0.42445400000000005,0.06491924400184848,0.0,0.7920790206038322,0.4212,0.4208
1.414141,42,0.12983456609132227,0.06491252790353362,565.5593698937998,282.7589715477925,282.80039834600734,282.80039834600734,2.0001465092265263,0.0,0.424219,0.06492203818778865,0.0,0.7966662896015835,0.4311,0.4301
1.424242,43,0.12984245356349014,0.0649139816554471,565.593727722563,282.7653040911276,282.8284236314355,282.8284236314355,2.0002232223663747,0.0,0.422546,0.06492847190804303,0.0,0.7996764667803292,0.4303,0.4301
1.434343,44,0.12982758791925084,0.06491100146417089,565.5289729762567,282.75232237792846,282.77665059832816,282.77665059832816,2.000086040744759,0.0,0.42776000000000003,0.06491658645507992,0.0,0.7878181388229818,0.4286,0.4278
1.444444,45,0.1298219794969079,0.06490930148284826,565.5045426885309,282.7449172592871,282.75962542924384,282.75962542924384,2.000052019219653,0.0,0.43245900000000004,0.06491267801405964,0.0,0.7863019291140616,0.4309,0.4281
1.454545,46,0.1298254648836939,0.06491610641361577,565.5197250333706,282.7745595377103,282.7451654956603,282.7451654956603,1.9998960513205362,0.0,0.430596,0.06490935847007812,0.0,0.7904123037720823,0.4414,0.4402
1.464646,47,0.12982948302248284,0.06491346955147115,565.5372280459353,282.76307336620835,282.7741546797271,282.7741546797271,2.0000391893940983,0.0,0.43344099999999997,0.06491601347101172,0.0,0.7824547194998479,0.4254,0.4233
1.474747,48,0.12983394648607424,0.06491066191299869,565.5566708933395,282.7508432930223,282.80582760031723,282.80582760031723,2.0001944620452927,0.0,0.43682599999999994,0.06492328457307558,0.0,0.7811038654590375,0.4407,0.4406
1.484848,49,0.12984030807247185,0.06491452129317178,565.5843819636874,282.76765475305626,282.81672721063114,282.81672721063114,2.0001735433906602,0.0,0.44001199999999996,0.06492578677930007,0.0,0.7806658990068513,0.4412,0.4411
1.494949,50,0.1298254946300235,0.06491294343898274,565.5198546083824,282.7607816202089,282.75907298817344,282.75907298817344,1.999993957323128,0.0,0.441149,0.06491255119104074,0.0,0.7693953675672336,0.4263,0.4258
1.505051,51,0.12984159081436197,0.06491156305556342,565.5899695873609,282.7547686700343,282.8352009173266,282.8352009173266,2.0002844593839058,0.0,0.43821799999999994,0.06493002775879857,0.0,0.7725052951274275,0.4211,0.4173
1.515152,52,0.12983017257353918,0.06491313604829424,565.5402317303367,282.76162062636973,282.77861110396697,282.77861110396697,2.0000600876369274,0.0,0.440733,0.06491703652524494,0.0,0.7690604449749916,0.4263,0.4263
1.525253,53,0.12983352982807184,0.06491217733293708,565.554855931081,282.75744446227395,282.7974114688071,282.7974114688071,2.000141347318402,0.0,0.442326,0.06492135249513478,0.0,0.7747478779929698,0.4345,0.434
1.535354,54,0.12982761479530966,0.06491052590874585,565.529090048369,282.75025085849694,282.77883918987203,282.77883918987203,2.000101108067237,0.0,0.442595,0.06491708888656382,0.0,0.7707418248986095,0.4335,0.4328
1.545455,55,0.12983662431717533,0.06491001531520973,565.5683355256158,282.74802671305366,282.82030881256213,282.82030881256213,2.000255641393324,0.0,0.445441,0.06492660900196559,0.0,0.7710080957942678,0.4359,0.4355
1.555556,56,0.1298379532964653,0.06490900209289137,565.5741245594029,282.74361311663483,282.830511442768,282.830511442768,2.0003073396607456,0.0,0.446858,0.0649289512035739,0.0,0.7599884838955452,0.4256,0.4243
1.565657,57,0.1298421556552923,0.06491090918648186,565.5924300344533,282.751920416315,282.8405096181383,282.8405096181383,2.000313310698979,0.0,0.444366,0.06493124646881043,0.0,0.7647778260512373,0.4254,0.4254
1.575758,58,0.1298225997808554,0.06490973734163755,565.5072446454062,282.7468158601732,282.760428785233,282.760428785233,2.00004814528156,0.0,0.45064200000000004,0.06491286243921784,0.0,0.7630958542582651,0.4344,0.4337
1.585859,59,0.1298268384161618,0.06491016335442099,565.5257081408008,282.7486715718578,282.77703656894283,282.77703656894283,2.0001003187634003,0.0,0.451415,0.06491667506174077,0.0,0.7614346753333084,0.4321,0.4315
1.59596,60,0.12983129685659395,0.0649107121174121,565.5451291073233,282.7510619834472,282.7940671238761,282.7940671238761,2.0001520954161136,0.0,0.452173,0.06492058473918184,0.0,0.7574068631132722,0.4296,0.4287
1.606061,61,0.1298340993755073,0.06491068323532495,565.5573368797099,282.7509361730755,282.80640070663424,282.80640070663424,2.000196160388749,0.0,0.452928,0.06492341614018232,0.0,0.7608117288900844,0.4357,0.4357
1.616162,62,0.12983222512507162,0.0649125742692023,565.549172644812,282.75917351664526,282.7899991281667,282.7899991281667,2.0001090171934583,0.0,0.457051,0.0649196508558693,0.0,0.7577384290450384,0.4369,0.4369
1.626263,63,0.12982633185391124,0.06491148495403924,565.5235015556374,282.75442845979495,282.7690730958424,282.7690730958424,2.0000517927734225,0.0,0.454018,0.06491484689987198,0.0,0.7752415502879919,0.4757,0.4718
