case_id,size_ratio,simulation_number,particle_count,small_particle_count,training_snapshot_count,validation_snapshot_count,route,rank,spacetime_relative_l2_error_percent,mean_snapshot_l2_error_percent,median_snapshot_l2_error_percent,p95_snapshot_l2_error_percent,maximum_snapshot_l2_error_percent,mean_spatial_correlation,minimum_spatial_correlation,time_averaged_l2_error_percent,mean_absolute_integral_error_percent,maximum_volume_fraction,minimum_volume_fraction,grid_time_fraction_phi_gt_one_percent,grid_time_fraction_phi_lt_tolerance_percent,average_field_consistency_percent
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,27,6.623721843000535,6.614590746620617,6.693483888066127,7.030710583837926,7.375538696933935,0.9972594707712752,0.9966001331693228,1.27913700772642,2.953136990192924e-05,0.5357857991959701,-0.0006816338132124,0.0,0.1092929292929292,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,27,132.63729424437997,119.78804824143378,94.2822931895957,213.73994710598305,220.38575247771504,0.7430881299964456,0.5387434474324753,101.51366439469076,0.2584021761151874,5.374941533130832,0.0,1.3935353535353534,0.0,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,CG then POD,100,5.770141520536022,5.758572970001607,5.842607848585228,6.257405888824814,6.396974529251048,0.997921656568252,0.9974504621204828,1.2307790325489432,3.486162234459912e-05,0.5477038521866533,-0.0040956046921751,0.0,0.974141414141414,0.0
ratio_1_494949_num_50,1.494949,50,13599,10462,101,99,Particle POD then CG,100,127.8787117820291,114.5423139448001,89.97648503337508,207.2564807658427,213.14869730224305,0.7546704270065433,0.5500820725465484,98.26308396175818,0.2720858066598814,5.1641226163106735,-2.1333663557889896e-18,1.3594949494949495,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,0,7.365282942345162,7.35662501457392,7.321575034223992,7.932652876460253,8.135849913494372,0.9966632649782656,0.9959224015779984,0.8766697214344926,2.357691369213426e-05,0.5321087380210671,0.0,0.0,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,0,486.5747388844376,486.57738586958175,486.6832935509539,487.8259194229884,488.6886719475661,0.2857632251558413,0.280734766667891,487.8260449599905,3.382498471352364e-05,15.899682551993331,0.0,1.01,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,8,6.811703354219993,6.806432493993393,6.793542308450872,7.334316490797079,7.426341588418785,0.9971470444050282,0.9966043344621958,0.8009644754661542,2.3467713400598e-05,0.5387251931272975,-0.0004387420031146,0.0,0.0168686868686868,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,8,148.42208438432695,135.90219007983157,110.91964551721018,220.89284880916225,224.84890681898855,0.702812075363922,0.5269345482583113,117.7292391449245,0.1859303515947294,4.887023907701372,0.0,1.768181818181818,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,14,6.511046869790553,6.507776544378947,6.487478655198966,6.815920101063096,7.085595769361656,0.9973937644355376,0.9969086959137136,0.7882488679347559,2.3077279249560686e-05,0.5405805652669807,-0.003132485209206,0.0,0.1580808080808081,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,14,146.01474860648617,133.05819910741477,103.8729701152907,224.16890357222823,228.24427600842927,0.7073206012748424,0.5160563102391321,112.81028902422317,0.1972365201665082,5.587980534483084,0.0,1.6681818181818182,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,27,6.139014078436581,6.134497022415299,6.112618482562637,6.551842475599809,6.671792894264942,0.9976835672892344,0.9972604015862424,0.7640762354764784,2.24627257987216e-05,0.5465121798031182,-0.002195565658028,0.0,0.3583838383838384,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,27,143.56051462239355,129.46866393707282,95.19044905666162,221.93221166150036,223.23762805840036,0.7159162325983695,0.5253240633096071,110.57016743016908,0.1914747420281176,5.522385320056051,0.0,1.607171717171717,0.0,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,CG then POD,100,5.279283961724388,5.272852755647059,5.250810910799398,5.709644707273745,5.829215132851791,0.9982877718277924,0.9979092769212408,0.6965517861727969,3.1321879137082726e-05,0.5574472026501311,-0.0090592619351259,0.0,1.2843434343434343,0.0
ratio_1_747475_num_75,1.747475,75,16584,13961,101,99,Particle POD then CG,100,138.0615784299893,123.49984335892032,92.1405781133306,216.75463895003296,218.20956693204624,0.7293574823623685,0.528805328852824,106.95749452641766,0.2011251051373134,5.259809916373522,0.0,1.5654545454545457,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,0,6.590947520531947,6.573072694002663,6.616291732134826,7.413801922213616,7.850928361237884,0.9973520724171122,0.996241526187252,1.6730327339206577,1.7901950980883288e-05,0.539921303420841,0.0,0.0,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,0,483.9510111394502,483.9523704475277,483.9562017370557,485.105374030318,485.88856512388566,0.2784848104975276,0.2752995085674781,484.8956333910481,2.067133751708871e-05,16.015546120578957,0.0,0.98,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,8,5.996268595743866,5.986393332886419,5.948896601486807,6.62766977808239,6.814279571727751,0.9978097689576976,0.9971741682673716,1.6574329176043603,1.814190001676124e-05,0.5509691518929529,-0.0001996010163762,0.0,0.0073737373737373,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,8,158.72661504731803,144.8125396705721,129.48443269462976,237.1379552622388,247.88518443308385,0.680622005097435,0.4849391222394311,123.85904687153544,0.1459809785799073,6.47378377645895,0.0,1.8422222222222224,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,14,5.728392011606181,5.719574953842213,5.677317744954508,6.2897326630534,6.591344726105215,0.9980015420595828,0.9973538377080268,1.6447543697832363,1.8135089591053653e-05,0.5553523652655252,-0.0003452447053563,0.0,0.0426262626262626,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,14,153.3657385471839,138.74488762856873,118.2460266337308,236.56693021413804,241.7504578192648,0.6933043944978388,0.4878806862691811,118.01044935792844,0.162086944318065,6.365363747862752,0.0,1.725959595959596,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,27,5.374077288933678,5.364488811507943,5.334233433481429,5.927956042749451,6.222101986707501,0.9982419550740468,0.9976423332219372,1.5821009881394008,1.951096426387576e-05,0.5563827790483945,-0.000618286697184,0.0,0.1958585858585858,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,27,150.18558221690694,134.87712756449957,104.9208858560138,235.4337258541293,237.0090295950498,0.7012262702576372,0.4947782825044472,114.66827811248064,0.1716584706602153,6.373456511129621,0.0,1.6878787878787878,0.0,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,CG then POD,100,4.556878570587827,4.548961647302097,4.561947715480149,5.035881686780335,5.1113707497225525,0.9987364539842992,0.9984180109697594,1.3922241003929958,2.713867396406053e-05,0.560410355695567,-0.0042825134807015,0.0,1.2033333333333334,0.0
ratio_2_000000_num_100,2.0,100,20449,18169,101,99,Particle POD then CG,100,144.19937615496386,128.43392159439145,95.83110196292697,230.12292358694063,232.9314479115372,0.7158749162702672,0.4996030848472378,110.80769972561929,0.1659173714101377,5.90623265983314,0.0,1.6467676767676769,0.0,0.0
