field,rank,relative_l2_error_percent,normalised_l1_error_percent,active_bed_rmse,correlation,field_integral,integral_error_percent,field_centroid_error,maximum_volume_fraction,grid_fraction_phi_gt_one_percent,route,error_multiple_of_cycle_variation,maximum_over_true_maximum,minimum_volume_fraction,grid_fraction_phi_lt_zero_percent,case_id,size_ratio,grid_size,cutoff,evaluation_role,runtime_seconds
CG then POD,27,2.3565554053091855,1.9343603096287207,0.005329685532860669,0.9996232430507171,282.79833775096165,-2.7999077458205632e-05,0.0328993002433546,0.3068784065529179,0.0,CG then POD,0.9609988144273139,1.0187593033611553,-3.8403664494523626e-18,0.30720000000000003,ratio_1_000000_num_1,1.0,125,2.0,training_case_diagnostic,11.13605837400246
Particle POD then CG,27,79.7152615489194,63.096876081964325,0.18030190191468357,0.7505467222781126,281.8745000780784,-0.3267051010591358,0.06553896023323666,1.0405812873384024,0.0896,Particle POD then CG,32.5077321193829,3.454468756167507,0.0,0.0,ratio_1_000000_num_1,1.0,125,2.0,training_case_diagnostic,11.13605837400246
CG then POD,100,2.283749052479087,1.8825768692420424,0.005165592863452515,0.9996461373611149,282.79830357283066,-4.0084764273320606e-05,0.0318327476085012,0.30569988859274916,0.0,CG then POD,0.9313085221494961,1.0148469194642677,-7.027559412784846e-18,0.35200000000000004,ratio_1_000000_num_1,1.0,125,2.0,training_case_diagnostic,11.13605837400246
Particle POD then CG,100,76.83144658820326,61.44505865487851,0.1737731010269739,0.7615945096452342,281.8980817387567,-0.31836641906293345,0.0593945939972156,0.995390186825023,0.0,Particle POD then CG,31.331717860591326,3.304445642471512,0.0,0.0,ratio_1_000000_num_1,1.0,125,2.0,training_case_diagnostic,11.13605837400246
CG then POD,27,1.6715844198069332,1.3536438750219606,0.0036226752523273536,0.999809301389447,282.798324288517,4.9744808042071205e-06,0.023864213575312637,0.3027701880042582,0.0,CG then POD,0.925133374653991,1.0130541318380848,-4.737642564856049e-18,0.3776,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
Particle POD then CG,27,77.9449256624035,61.80851962668029,0.16896308019723738,0.7635427834181334,281.83014616738404,-0.34235142799456164,0.06693703290038903,0.9682218478384694,0.0,Particle POD then CG,43.138384912406885,3.239622599418117,0.0,0.0,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
CG then POD,100,1.591595515377248,1.2956153964398127,0.003449140597977487,0.9998271573937081,282.7983208717081,3.766266757231824e-06,0.027224176342502706,0.3015817336936453,0.0,CG then POD,0.8808637558342265,1.0090776222688858,-3.5575774765597457e-06,0.4992,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
Particle POD then CG,100,75.22209776223187,60.177687314317424,0.16305731460767267,0.7737647484687559,281.8601246895919,-0.33175075566931395,0.06023595765637753,0.9289658906394573,0.0,Particle POD then CG,41.63144399213989,3.1082741007371344,0.0,0.0,ratio_1_000000_num_1,1.0,125,3.0,training_case_diagnostic,23.77661834399987
CG then POD,27,1.2927424482643037,1.056100838203392,0.002688830770049794,0.9998851868893929,282.7982616844781,1.7316074816249411e-06,0.021185288316465163,0.2987254835660057,0.0,CG then POD,0.8749580538129145,1.004307500978989,-7.97189692513395e-18,0.2176,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
Particle POD then CG,27,75.95844837504083,60.46457349974755,0.15802646656835617,0.7768194549188188,281.7665437492966,-0.36482298368653426,0.06870378695750141,0.9266637052124294,0.0,Particle POD then CG,51.410438521692676,3.1154198795503496,0.0,0.0,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
CG then POD,100,1.1674306681028186,0.9888652098286167,0.0024265167643631905,0.9999065526313213,282.79826179735755,1.7715226618252661e-06,0.022932302077766645,0.29946909940421096,0.0,CG then POD,0.7901441363639005,1.0068075185711984,-7.546356166680156e-05,0.9856,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
Particle POD then CG,100,73.4018605299329,58.87394787327719,0.15270546696612733,0.7862058428884849,281.8032085925226,-0.3518579662771307,0.0612390138751189,0.8765131158589496,0.0,Particle POD then CG,49.68008060828095,2.946814869810403,0.0,0.0,ratio_1_000000_num_1,1.0,125,4.0,training_case_diagnostic,38.15514239999902
CG then POD,27,1.7344664320962062,1.6082001891914592,0.0045924231555646965,0.9998132541074483,282.7558427784207,-0.00039053641677818345,0.013672520935342923,0.5270821262419059,0.0,CG then POD,0.9512189098447684,0.9963969921931772,-3.2154657242093476e-18,0.8,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
Particle POD then CG,27,105.0544809625241,69.79881999068253,0.27827890149873724,0.7700942917064302,282.0535485466235,-0.24876435680597708,0.019324041219747665,2.51319754759066,1.6533333333333333,Particle POD then CG,57.61414980785129,4.750953129564707,0.0,0.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
CG then POD,100,1.6871487549818949,1.5767497073588,0.00446701971633254,0.9998235272591006,282.75582690537885,-0.00039615008675085575,0.016465461380114284,0.5268982272719178,0.0,CG then POD,0.925268872180064,0.9960493492520857,-1.2857252901436862e-08,0.8177777777777778,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
Particle POD then CG,100,101.4331738198534,67.70245660243053,0.2686837558224272,0.7782454583587972,282.0136900705905,-0.2628607305464847,0.023800197639482622,2.407786734078168,1.6,Particle POD then CG,55.62814663781518,4.5516843395616124,0.0,0.0,ratio_1_494949_num_50,1.494949,75,2.0,training_case_diagnostic,8.742475835999358
