model,rank,method,operation,block,calls_per_block,time_per_query_ms
paper_rank15,15,piecewise_linear,coefficient_prediction,1,40,0.057158074999999996
paper_rank15,15,piecewise_linear,coefficient_prediction,2,40,0.0631002
paper_rank15,15,piecewise_linear,coefficient_prediction,3,40,0.079739875
paper_rank15,15,piecewise_linear,coefficient_prediction,4,40,0.08041005
paper_rank15,15,piecewise_linear,coefficient_prediction,5,40,0.079820525
paper_rank15,15,piecewise_linear,coefficient_prediction,6,40,0.08558475
paper_rank15,15,piecewise_linear,coefficient_prediction,7,40,0.073228725
paper_rank15,15,piecewise_linear,coefficient_prediction,8,40,0.089466925
paper_rank15,15,piecewise_linear,coefficient_prediction,9,40,0.081970525
paper_rank15,15,piecewise_linear,coefficient_prediction,10,40,0.055370025
paper_rank15,15,piecewise_linear,coefficient_prediction,11,40,0.05984445000000001
paper_rank15,15,piecewise_linear,coefficient_prediction,12,40,0.059996799999999996
paper_rank15,15,piecewise_linear,coefficient_prediction,13,40,0.05443485
paper_rank15,15,piecewise_linear,coefficient_prediction,14,40,0.056690675
paper_rank15,15,piecewise_linear,coefficient_prediction,15,40,0.054922975
paper_rank15,15,piecewise_linear,coefficient_prediction,16,40,0.0623351
paper_rank15,15,piecewise_linear,coefficient_prediction,17,40,0.061608425
paper_rank15,15,piecewise_linear,coefficient_prediction,18,40,0.06007945
paper_rank15,15,piecewise_linear,coefficient_prediction,19,40,0.059128875000000004
paper_rank15,15,piecewise_linear,coefficient_prediction,20,40,0.057457999999999995
paper_rank15,15,piecewise_linear,coefficient_prediction,21,40,0.07085745
paper_rank15,15,piecewise_linear,coefficient_prediction,22,40,0.058321425
paper_rank15,15,piecewise_linear,coefficient_prediction,23,40,0.061435275
paper_rank15,15,piecewise_linear,coefficient_prediction,24,40,0.058616800000000004
paper_rank15,15,piecewise_linear,full_field_prediction,0,40,0.11758165000000001
paper_rank15,15,piecewise_linear,full_field_prediction,1,40,0.11239495
paper_rank15,15,piecewise_linear,full_field_prediction,2,40,0.11840755
paper_rank15,15,piecewise_linear,full_field_prediction,3,40,0.17081342500000002
paper_rank15,15,piecewise_linear,full_field_prediction,4,40,0.11936377499999999
paper_rank15,15,piecewise_linear,full_field_prediction,5,40,0.12077659999999998
