model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,truth_norm,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,integral_error_percent,minimum_prediction,maximum_prediction,fraction_phi_lt_threshold_percent,fraction_phi_gt_one_percent,filename
validation_selected_rank,6,frozen_nn,fitting,55,64,65,1.646465,14.839020869680658,0.5374721202166804,0.6812349217680442,0.8677311211697424,-2.9070170749767588e-18,0.016154964398275656,-2.711296289209227e-07,0.532908375590128,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_646465_num_65.stat
validation_selected_rank,6,frozen_nn,fitting,56,66,67,1.666667,14.882769306071474,0.5722861103220294,0.7120763594373117,0.9135448175853237,-1.111307226797642e-18,0.009565367769218219,-2.3001555666709442e-07,0.5334743641790963,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_666667_num_67.stat
validation_selected_rank,6,frozen_nn,fitting,57,67,68,1.676768,14.89146799241066,0.43821974579795564,0.4672763150230013,0.6406119731855487,-1.7787691892340307e-18,0.009107568695796977,-2.0761875976538567e-07,0.5337511046841721,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_676768_num_68.stat
validation_selected_rank,6,frozen_nn,fitting,58,68,69,1.686869,14.863228553128508,0.41840493204271495,0.4057421188695891,0.5828287520211002,2.036267205199338e-18,0.005569368297801424,-1.842297054035577e-07,0.534007027168228,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_686869_num_69.stat
validation_selected_rank,6,frozen_nn,fitting,59,69,70,1.69697,14.896806159654549,0.35887751068914414,0.3909948877902284,0.5307259838716549,6.06475590234079e-19,0.0013594889617347472,-1.6002503852904085e-07,0.5342444802329177,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_696970_num_70.stat
validation_selected_rank,6,frozen_nn,fitting,60,70,71,1.707071,14.947414820003644,0.39074918180038887,0.4857158385792277,0.6233817441378765,-1.4772254600114998e-18,0.00035424198918101616,-1.351783089782466e-07,0.5344656320977447,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_707071_num_71.stat
validation_selected_rank,6,frozen_nn,fitting,61,71,72,1.717172,14.928758869795994,0.4648405546960996,0.40312442800365944,0.6152934631080279,1.4907779871675686e-18,0.0016641141708826999,-1.1023207808022413e-07,0.5346724736012352,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_717172_num_72.stat
validation_selected_rank,6,frozen_nn,fitting,62,72,73,1.727273,14.952832288547768,0.45327702376863144,0.26169470001676404,0.523396767561106,1.7702988597614877e-19,-0.006807918803301247,-8.596441684250797e-08,0.5348668229433523,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_727273_num_73.stat
validation_selected_rank,6,frozen_nn,fitting,63,73,74,1.737374,15.02910789652686,0.44071498349718163,0.7756409809261321,0.8921034850122186,-2.778268066994105e-18,-0.007519444305165922,-6.13861572854094e-08,0.5350503318677157,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_737374_num_74.stat
validation_selected_rank,6,frozen_nn,fitting,64,74,75,1.747475,14.981514028253443,0.32204461419092667,0.17100529256697422,0.3646306948342479,7.195544886925281e-19,-0.01246076551487054,-4.6855785152244624e-08,0.5352501710018432,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_747475_num_75.stat
validation_selected_rank,6,frozen_nn,fitting,65,75,76,1.757576,15.057652890629452,0.33493613775054154,0.8157398492554143,0.8818240856511278,-4.811147140404426e-18,-0.01204218055212767,-4.072832454308708e-08,0.5354809810784704,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_757576_num_76.stat
validation_selected_rank,6,frozen_nn,fitting,66,76,77,1.767677,14.997236033520513,0.4429903014166557,0.442719562644828,0.626291480301032,1.0672615135404184e-18,-0.016500338403962724,-3.433540195284467e-08,0.5357018596805695,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_767677_num_77.stat
validation_selected_rank,6,frozen_nn,fitting,67,77,78,1.777778,15.06447062570793,0.3828158329379174,0.45851281803509164,0.5973122853670442,-3.130633773051894e-18,-0.01833798811181985,-2.7708161086314177e-08,0.5359138857201698,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_777778_num_78.stat
validation_selected_rank,6,frozen_nn,fitting,68,78,79,1.787879,15.015785745475727,0.4737918178961916,0.7336433347694079,0.873333401031354,3.638853541404474e-18,-0.02270819233495743,-2.0876771280902283e-08,0.5361180305043554,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_787879_num_79.stat
validation_selected_rank,6,frozen_nn,fitting,69,79,80,1.79798,15.078643201973989,0.4116218395744527,0.477636085767607,0.6305305458437777,-5.082197683525802e-19,-0.021598852963132218,-1.5374196002019296e-08,0.5363151655754053,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_797980_num_80.stat
validation_selected_rank,6,frozen_nn,fitting,70,80,81,1.808081,15.127707855158457,0.5492841018458049,0.6613020490763506,0.859670532618792,-5.502326025363935e-18,-0.027755193860524118,-1.2314458819193954e-08,0.5365060702996944,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_808081_num_81.stat
validation_selected_rank,6,frozen_nn,fitting,71,81,82,1.818182,15.084753154633894,0.4520998228911248,0.36872528258693343,0.5833974493233653,8.317863542037229e-19,-0.02692153443445814,-9.132360111263142e-09,0.5366914391562632,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_818182_num_82.stat
validation_selected_rank,6,frozen_nn,fitting,72,82,83,1.828283,15.075005105175546,0.459500775858706,0.6615317716021311,0.8054596500469987,2.676624113323589e-18,-0.02427652580085388,-7.3802209443933325e-09,0.536871888690846,0.0,0.0,rotating_drum_bidisperse_size_ratio_1_828283_num_83.stat
