model,rank,method,evaluation_role,mode,case_count,mean_absolute_coefficient_error,median_absolute_coefficient_error,maximum_absolute_coefficient_error,mean_field_normalised_error_percent,median_field_normalised_error_percent,maximum_field_normalised_error_percent
paper_rank15,15,piecewise_linear,fitting,11,90,7.67449496121163e-19,0.0,6.938893903907228e-18,5.4657401701303865e-18,0.0,5.0420861571082906e-17
paper_rank15,15,piecewise_linear,fitting,12,90,7.378598118304127e-19,0.0,6.938893903907228e-18,5.3410431987266246e-18,0.0,5.260657882916018e-17
paper_rank15,15,piecewise_linear,fitting,13,90,5.481997234629832e-19,0.0,6.938893903907228e-18,3.890220150473281e-18,0.0,5.069392308192067e-17
paper_rank15,15,piecewise_linear,fitting,14,90,5.238804663995931e-19,0.0,5.204170427930421e-18,3.6654573443666e-18,0.0,3.7192937001323805e-17
paper_rank15,15,piecewise_linear,fitting,15,90,5.483804238250641e-17,0.0,1.177877240188252e-15,3.771843174131563e-16,0.0,7.862204300359154e-15
paper_rank15,15,piecewise_linear,internal_validation,1,10,0.03370896487598198,0.03328985158651587,0.08420292315578415,0.24150497103987173,0.2357940863053689,0.5954264632228996
paper_rank15,15,piecewise_linear,internal_validation,2,10,0.06143460491752038,0.05595597426019813,0.14513847893428125,0.4368270272986917,0.40471089553423567,1.0263217469244594
paper_rank15,15,piecewise_linear,internal_validation,3,10,0.0436711864439137,0.03317962539171812,0.11590279291242778,0.31874075301563043,0.23291122185432117,0.9186633983143636
paper_rank15,15,piecewise_linear,internal_validation,4,10,0.05467932526158511,0.044627623784432593,0.15801710625066656,0.40291422913590924,0.307336683136736,1.2524679360377502
paper_rank15,15,piecewise_linear,internal_validation,5,10,0.028518856593845582,0.02295316798125526,0.0796839905068015,0.21105128079836472,0.17507268301582984,0.6287437683429106
paper_rank15,15,piecewise_linear,internal_validation,6,10,0.03862722633840898,0.03567620719299445,0.11265692715917852,0.28398324441537015,0.26635136733293546,0.89293616613623
paper_rank15,15,piecewise_linear,internal_validation,7,10,0.03585800129155024,0.02311565868522296,0.08427566631190074,0.2604966954828204,0.16163728058482185,0.6230994328493079
paper_rank15,15,piecewise_linear,internal_validation,8,10,0.033601906716620326,0.034688925099338845,0.06833729180100713,0.24428073695621483,0.24608063445104497,0.5416519062223735
paper_rank15,15,piecewise_linear,internal_validation,9,10,0.028819236037384722,0.020468060712906692,0.0807594370368117,0.20390911280546015,0.1458477786705838,0.5710764444333669
paper_rank15,15,piecewise_linear,internal_validation,10,10,0.03374457530592538,0.029383412433436257,0.08780765308870642,0.24590373368266466,0.20442449412161756,0.6959769903511127
paper_rank15,15,piecewise_linear,internal_validation,11,10,0.02032846241486494,0.01809601998594701,0.03956818947715221,0.14798940697101298,0.13078751299358227,0.2871386623938144
paper_rank15,15,piecewise_linear,internal_validation,12,10,0.012321336641230331,0.011382305827289357,0.026979299434188215,0.08960758642009854,0.08305865171150076,0.21384208507450514
paper_rank15,15,piecewise_linear,internal_validation,13,10,0.01300096054655484,0.01223594544197788,0.025452888793719243,0.09408766424740195,0.09260602235952145,0.18470666813065054
paper_rank15,15,piecewise_linear,internal_validation,14,10,0.013234845179647792,0.012069267824670344,0.022330092800163383,0.09507157644138259,0.08414664684442613,0.15759112136721773
paper_rank15,15,piecewise_linear,internal_validation,15,10,0.018032144058847642,0.014283945916917236,0.04482349226342578,0.13099631269446257,0.10091435684789563,0.35527790739390364
validation_selected_rank,6,frozen_nn,external,1,10,0.02989104490529577,0.03218947591920163,0.05499166192637084,0.2187494699369173,0.23706441797793742,0.4102292343834678
validation_selected_rank,6,frozen_nn,external,2,10,0.044448163579206904,0.04163579497995751,0.08911650481870659,0.3243325145834492,0.29801707451435755,0.69175331453188
validation_selected_rank,6,frozen_nn,external,3,10,0.03898207244658707,0.021247480537701507,0.0970896838556789,0.28292212000381467,0.15770387869281738,0.761676832504663
validation_selected_rank,6,frozen_nn,external,4,10,0.026480861554989688,0.02070583897465642,0.0870596795288345,0.19440936659684352,0.13938264204381806,0.6880271452889558
validation_selected_rank,6,frozen_nn,external,5,10,0.032018890708211574,0.024333484292815843,0.07055057603477896,0.23190659651902176,0.17955643970354596,0.5476381161208572
