model,rank,method,evaluation_role,case_index,source_index,simulation_number,size_ratio,mode,absolute_coefficient_error,field_normalised_error_percent
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,5,0.058092101606663185,0.43599251976080133
validation_selected_rank,6,frozen_nn,fitting,21,23,24,1.232323,6,0.0397688332739157,0.29847282758751015
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,1,0.023411680219357578,0.17426722903990294
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,2,0.03390479324678264,0.2523737858593455
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,3,0.005587257840729942,0.04158932347924391
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,4,0.0018807315250532614,0.01399941688798687
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,5,0.01434714173986858,0.10679441254209292
validation_selected_rank,6,frozen_nn,fitting,22,24,25,1.242424,6,0.009174955146532604,0.06829471421831626
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,1,0.021499037450384506,0.1598810207192686
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,2,0.026131298948792736,0.19432957211666294
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,3,0.012713893200587911,0.09454889442919731
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,4,0.010429020561013025,0.07755707464787827
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,5,0.01940427381012328,0.1443029768303974
validation_selected_rank,6,frozen_nn,fitting,23,25,26,1.252525,6,0.006515503388467297,0.0484535800568771
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,1,0.07068896222715537,0.5205965452756449
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,2,0.11387528420797555,0.838646907284494
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,3,0.016302423906574326,0.12006097271748284
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,4,0.021916518338513255,0.16140658133919047
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,5,0.07490352879975945,0.5516351788671426
validation_selected_rank,6,frozen_nn,fitting,24,26,27,1.262626,6,0.026299822523925098,0.19368790141975417
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,1,0.046175227026120425,0.3413694235840126
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,2,0.0599619925636663,0.44329377799980485
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,3,0.011977231916691977,0.08854663027905209
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,4,0.007159836208138787,0.05293204423111278
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,5,0.059479272697423764,0.43972507215676593
validation_selected_rank,6,frozen_nn,fitting,25,27,28,1.272727,6,0.03837397754248749,0.28369546698480885
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,1,0.02396102288744295,0.17505358462624704
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,2,0.04749293494487428,0.3469721866873363
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,3,0.005338734935342648,0.039003538880256865
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,4,0.06292678288014272,0.4597282413155812
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,5,0.007819319333693866,0.0571261037197942
validation_selected_rank,6,frozen_nn,fitting,26,29,30,1.292929,6,0.049746943419489924,0.36343944124123884
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,1,0.04995729275165495,0.3630102689535134
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,2,0.08632149955573953,0.6272475757638315
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,3,0.01947135553534962,0.14148689051094737
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,4,0.014977991157623056,0.10883625390873433
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,5,0.019263224584750563,0.13997452528471097
validation_selected_rank,6,frozen_nn,fitting,27,30,31,1.30303,6,0.026341943174957264,0.19141141062698253
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,1,0.049108023516820865,0.35441520150691397
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,2,0.08089548093797128,0.5838269619588605
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,3,0.03145601465227699,0.22701972046935504
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,4,0.00019893782952323802,0.001435744831263185
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,5,0.05500778361995967,0.39699408202488423
validation_selected_rank,6,frozen_nn,fitting,28,32,33,1.323232,6,0.04670909038673826,0.3371019743026341
validation_selected_rank,6,frozen_nn,fitting,29,33,34,1.333333,1,0.044584132082203354,0.32269033723873813
validation_selected_rank,6,frozen_nn,fitting,29,33,34,1.333333,2,0.09813907493698326,0.7103094690578052
validation_selected_rank,6,frozen_nn,fitting,29,33,34,1.333333,3,0.024792535714184383,0.17944302909974336
validation_selected_rank,6,frozen_nn,fitting,29,33,34,1.333333,4,0.0017359636008921382,0.012564530330504397
validation_selected_rank,6,frozen_nn,fitting,29,33,34,1.333333,5,0.03433881321794866,0.24853692783000292
validation_selected_rank,6,frozen_nn,fitting,29,33,34,1.333333,6,0.017775989182960368,0.12865877782762394
validation_selected_rank,6,frozen_nn,fitting,30,34,35,1.343434,1,0.05397918274252156,0.389629318778971
validation_selected_rank,6,frozen_nn,fitting,30,34,35,1.343434,2,0.08677348852241079,0.6263432216514216
validation_selected_rank,6,frozen_nn,fitting,30,34,35,1.343434,3,0.03998139078394913,0.28859129137415745
validation_selected_rank,6,frozen_nn,fitting,30,34,35,1.343434,4,0.042668071756559185,0.3079841317979874
validation_selected_rank,6,frozen_nn,fitting,30,34,35,1.343434,5,0.038751613561207425,0.2797145867409601
validation_selected_rank,6,frozen_nn,fitting,30,34,35,1.343434,6,0.0018101150087031087,0.013065664241652383
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,1,0.023845215275864362,0.17065193101833212
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,2,0.029540537167359937,0.21141137341843722
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,3,0.050811013917214765,0.3636367942858815
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,4,0.012908951726727708,0.09238488787384881
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,5,0.08801746591947084,0.6299104599697712
validation_selected_rank,6,frozen_nn,fitting,31,35,36,1.353535,6,0.018523004427608084,0.13256271487856605
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,1,0.0019051528071916124,0.01361566253777579
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,2,0.0068633282505696225,0.049050533370859614
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,3,0.0025834183797781574,0.018463061188670908
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,4,0.02906762875874161,0.20773925454083897
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,5,0.01727007548006424,0.12342501811447672
validation_selected_rank,6,frozen_nn,fitting,32,36,37,1.363636,6,0.02610765323604695,0.18658503127593656
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,1,0.009488005462047866,0.06746048164880615
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,2,0.011062879287821195,0.07865796116625953
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,3,0.004274076626453904,0.03038902843994066
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,4,0.04044457360081659,0.2875641699517724
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,5,0.038037032417527844,0.270446358577859
validation_selected_rank,6,frozen_nn,fitting,33,38,39,1.383838,6,0.022305900548081764,0.15859674623956002
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,1,0.013369550716815226,0.0946341826151371
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,2,0.034120730295377516,0.24151802032310754
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,3,0.00929752140921919,0.06581098778447124
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,4,0.025872689148176933,0.1831356072806385
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,5,0.0386734554035412,0.27374374192051315
validation_selected_rank,6,frozen_nn,fitting,34,39,40,1.393939,6,0.011010721403062917,0.0779375943180586
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,1,0.009098354019913657,0.06415955537089521
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,2,0.012920616282169547,0.09111329301624761
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,3,0.011552953231520058,0.081468839411253
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,4,0.011904481080560074,0.08394773509343142
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,5,0.026071492933536937,0.18385033059936268
validation_selected_rank,6,frozen_nn,fitting,35,41,42,1.414141,6,0.03149286240578635,0.22208061423963021
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,1,0.007826079234549255,0.05483645993269859
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,2,0.012419057231893182,0.08701894191054974
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,3,0.047045516157483036,0.32964265815173893
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,4,0.01394295130098614,0.09769669683188821
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,5,0.061528466243223986,0.43112306593727917
validation_selected_rank,6,frozen_nn,fitting,36,43,44,1.434343,6,0.05245707985702159,0.36756087838556256
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,1,0.01536122510298732,0.10733406091316622
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,2,0.03639512463781147,0.254305011392447
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,3,0.04905109906105398,0.34273657336438973
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,4,0.03501018987561107,0.24462800509052965
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,5,0.03740212615888317,0.26134127066719337
validation_selected_rank,6,frozen_nn,fitting,37,44,45,1.444444,6,0.03741750956293857,0.26144875969992765
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,1,0.001307737510916951,0.009126867748143544
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,2,0.01299499600453774,0.09069374314873634
validation_selected_rank,6,frozen_nn,fitting,38,45,46,1.454545,3,0.0033599773850611636,0.023449712938725893
