model,rank,method,evaluation_role,heldout_position,source_index,size_ratio,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual
validation_selected_rank,6,pchip,fitting_loo,25,27,1.272727,0.6391856505687638,1.7482512084317434,1.8614350871508083,7.26415455565288e-18
validation_selected_rank,6,pchip,fitting_loo,26,29,1.292929,0.5456622486500221,0.6402372524453684,0.8412199647063604,-2.2497195079074217e-18
validation_selected_rank,6,pchip,fitting_loo,27,30,1.30303,0.6587324303307349,0.490735199410488,0.8214313426634657,1.6093625997831706e-18
validation_selected_rank,6,pchip,fitting_loo,28,32,1.323232,0.48067089764572146,1.2816695711918342,1.368839436005035,-2.1412992906588713e-18
validation_selected_rank,6,pchip,fitting_loo,29,33,1.333333,0.5964808839385022,0.8848390123276787,1.0671127038139523,4.4994390158148434e-18
validation_selected_rank,6,pchip,fitting_loo,30,34,1.343434,0.7313027077804883,0.6586410518408318,0.9841807179462108,4.723055713889979e-18
validation_selected_rank,6,pchip,fitting_loo,31,35,1.353535,0.5315615051668358,1.0673725263368334,1.192410056882233,-1.6127507315721878e-18
validation_selected_rank,6,pchip,fitting_loo,32,36,1.363636,0.37678903753463583,0.6735637205922121,0.7717888730114604,-6.098637220230962e-20
validation_selected_rank,6,pchip,fitting_loo,33,38,1.383838,0.5037302965043994,0.36109860154116435,0.6197873922978843,1.6855955650360577e-18
validation_selected_rank,6,pchip,fitting_loo,34,39,1.393939,0.5099476509085625,0.4263986886771291,0.6647273488978153,-1.8634724839594607e-18
validation_selected_rank,6,pchip,fitting_loo,35,41,1.414141,0.4786476210153905,0.6043720571732426,0.7709533893793515,-2.0328790734103208e-20
validation_selected_rank,6,pchip,fitting_loo,36,43,1.434343,0.3778132588339673,1.207360219958529,1.2650934982399809,2.222614453595284e-18
validation_selected_rank,6,pchip,fitting_loo,37,44,1.444444,0.4805374634989692,0.9012483825173747,1.0213544442631983,-2.0599841277224584e-18
validation_selected_rank,6,pchip,fitting_loo,38,45,1.454545,0.568743077936858,0.5152532387067151,0.7674337682815638,-9.046311876675928e-19
validation_selected_rank,6,pchip,fitting_loo,39,46,1.464646,0.6350969931847414,0.9861835089572408,1.1729902404076282,2.995108501491206e-18
validation_selected_rank,6,pchip,fitting_loo,40,47,1.474747,0.5107886930033245,0.9727058658719793,1.0986636384270454,-4.743384504624082e-18
validation_selected_rank,6,pchip,fitting_loo,41,48,1.484848,0.49425699273120727,0.6277444694155797,0.7989700205549354,9.554531645028508e-19
validation_selected_rank,6,pchip,fitting_loo,42,49,1.494949,0.4592333683738272,0.7261780381523465,0.8592030200847389,-2.588532686809142e-18
validation_selected_rank,6,pchip,fitting_loo,43,50,1.505051,0.6805827051493066,0.9194507773335701,1.1439329309394375,3.767602549387128e-18
validation_selected_rank,6,pchip,fitting_loo,44,52,1.525253,0.6329719952024638,0.553802860996945,0.8410417085727653,6.640738306473715e-19
validation_selected_rank,6,pchip,fitting_loo,45,54,1.545455,0.3945853934663991,1.1290201416573,1.1959866692421444,1.5449880957918438e-18
validation_selected_rank,6,pchip,fitting_loo,46,55,1.555556,0.4017039264024309,1.2886473541424435,1.3498066705367109,-4.87890977618477e-18
validation_selected_rank,6,pchip,fitting_loo,47,56,1.565657,0.5496677458524052,1.5404883674573093,1.635615798744266,9.351243737687476e-18
validation_selected_rank,6,pchip,fitting_loo,48,57,1.575758,0.3774684185341373,1.0127274391558059,1.0807864141492893,-5.990217002982412e-18
validation_selected_rank,6,pchip,fitting_loo,49,58,1.585859,0.4966293493015204,0.4891663697111743,0.6970828127590627,2.571592027864056e-18
validation_selected_rank,6,pchip,fitting_loo,50,59,1.59596,0.4999467048078274,0.5545859874122014,0.7466674795932527,-3.076423664427619e-18
validation_selected_rank,6,pchip,fitting_loo,51,60,1.606061,0.4139170995743527,0.8426625173653763,0.9388330434601365,2.507217523872729e-18
validation_selected_rank,6,pchip,fitting_loo,52,61,1.616162,0.4666946899900295,1.0003770683509472,1.1038832422622007,-1.6805133673525319e-18
validation_selected_rank,6,pchip,fitting_loo,53,62,1.626263,0.4707460718697835,0.6471854105458763,0.8002817127763863,4.052205619664573e-18
validation_selected_rank,6,pchip,fitting_loo,54,63,1.636364,0.4469204764639154,0.4262752845348861,0.6176151961278308,-1.2366681029912785e-18
validation_selected_rank,6,pchip,fitting_loo,55,64,1.646465,0.5374721202166817,0.5919162494611769,0.7995255633101387,-6.844026213814747e-19
validation_selected_rank,6,pchip,fitting_loo,56,66,1.666667,0.5722861103220298,0.678805194888997,0.887855779209562,1.0842021724855044e-18
validation_selected_rank,6,pchip,fitting_loo,57,67,1.676768,0.43821974579795553,0.6726705888220471,0.8028214413388617,-1.6872896309305663e-18
validation_selected_rank,6,pchip,fitting_loo,58,68,1.686869,0.4184049320427146,0.46236067256520286,0.6235704280132575,2.171792476760026e-18
validation_selected_rank,6,pchip,fitting_loo,59,69,1.69697,0.35887751068914414,0.5319647275823597,0.6417005057425264,3.1848438816761693e-19
