model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,truth_field_norm,projection_error_absolute,coefficient_error_absolute,coefficient_field_error_absolute,rom_error_absolute,projection_error_percent,coefficient_error_percent,rom_error_percent,pythagorean_residual,coefficient_field_equivalence_residual,field_uncertainty_absolute,field_uncertainty_percent,modal_uncertainty_norm_absolute,modal_uncertainty_norm_percent,rom_to_field_uncertainty_ratio,coefficient_to_modal_uncertainty_ratio,field_ratio_stable,modal_vector_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,numbered,numbered_simulation_1,fitting,observed_numbered_windows,empirical_primary,1.0,1,12.534418235102383,0.046047586990701384,0.12985778242849147,0.1298577824284914,0.13778034665695982,0.3673691600759424,1.0360096495330544,1.099216126928881,2.425902360936316e-18,8.326672684688674e-17,0.1445121491044985,1.152922667761278,0.08037276431614836,0.6412165511684145,0.9534170483986725,1.6156938676103327,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_1,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.0,1,12.534418235102383,0.046047586990701384,0.12985778242849147,0.1298577824284914,0.13778034665695982,0.3673691600759424,1.0360096495330544,1.099216126928881,2.425902360936316e-18,8.326672684688674e-17,0.13211841645049532,1.0540450619439232,0.07347978985157762,0.5862241746952321,1.0428549657086301,1.7672584895900245,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_11,fitting,observed_numbered_windows,empirical_primary,1.10101,11,12.762901664468703,0.045071118130238605,0.07889987857212051,0.07889987857212052,0.09086581605975612,0.35314162339520644,0.618197026400148,0.7119526456332584,8.944667923005412e-19,1.3877787807814457e-17,0.1436835084809138,1.1257902964254727,0.08593995388484722,0.6733574867547548,0.6324025423685021,0.9180814627599189,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_11,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.10101,11,12.762901664468703,0.045071118130238605,0.07889987857212051,0.07889987857212052,0.09086581605975612,0.35314162339520644,0.618197026400148,0.7119526456332584,8.944667923005412e-19,1.3877787807814457e-17,0.13136084217267183,1.029239632382141,0.07856952296020601,0.615608621187921,0.6917268080568058,1.0042046279456451,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_21,fitting,observed_numbered_windows,empirical_primary,1.20202,21,13.19016377484132,0.043310881504222756,0.12508954082095997,0.1250895408209599,0.13237532126295926,0.32835742029854964,0.9483547206559596,1.0035911875139076,1.3552527156068805e-18,5.551115123125783e-17,0.1396619024637195,1.058833725249933,0.08349500837652073,0.6330096411371146,0.9478269945330788,1.4981678935448297,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_21,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.20202,21,13.19016377484132,0.043310881504222756,0.12508954082095997,0.1250895408209599,0.13237532126295926,0.32835742029854964,0.9483547206559596,1.0035911875139076,1.3552527156068805e-18,5.551115123125783e-17,0.12768413940496692,0.9680254285281078,0.07633426225119624,0.5787211103230943,1.0367405214136554,1.6387076671982859,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_31,fitting,observed_numbered_windows,empirical_primary,1.30303,31,13.76195028743179,0.04515135479133859,0.12262637322546506,0.12262637322546507,0.13067468098267299,0.32808834393605846,0.891053743577715,0.9495360632279909,5.4616684438957286e-18,1.3877787807814457e-17,0.13966988065197172,1.0148988895819975,0.08720763872584936,0.6336866280173417,0.9355967111355031,1.406142569815013,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_31,fitting,observed_numbered_windows,inverse_sqrt_sensitivity,1.30303,31,13.76195028743179,0.04515135479133859,0.12262637322546506,0.12262637322546507,0.13067468098267299,0.32808834393605846,0.891053743577715,0.9495360632279909,5.4616684438957286e-18,1.3877787807814457e-17,0.12769143336332656,0.9278585570821439,0.0797284878969906,0.5793400370716588,1.023362942530828,1.5380496540195099,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_41,internal_validation,observed_numbered_windows,empirical_primary,1.40404,41,14.169638877135696,0.04409437314565786,0.14327616602401907,0.1432761660240191,0.1499078833605801,0.31118911023772866,1.011149029741409,1.0579513328492325,7.49454751730605e-18,2.7755575615628914e-17,0.13168500515165177,0.929346233122005,0.07689934922539488,0.5427050745060314,1.1383823328095892,1.863164870278307,True,True,True,False
paper_rank15,15,numbered,numbered_simulation_41,internal_validation,observed_numbered_windows,inverse_sqrt_sensitivity,1.40404,41,14.169638877135696,0.04409437314565786,0.14327616602401907,0.1432761660240191,0.1499078833605801,0.31118911023772866,1.011149029741409,1.0579513328492325,7.49454751730605e-18,2.7755575615628914e-17,0.12039136127116092,0.8496431159260233,0.0703042637500748,0.49616129500321016,1.245171429060747,2.0379441925933923,True,True,True,False
