model,rank,evaluation_role,uncertainty_source,prediction_source,duration_scaling,size_ratio,source_simulation,quantity,mode,loo_eligible,exclusion_reason,observed_absolute,predicted_absolute,absolute_error,relative_error_percent
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,mode,2,True,,0.013635971581372967,0.013647386883486861,1.141530211389366e-05,0.08371462235582253
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,mode,3,True,,0.01619779440964221,0.024661657940055922,0.008463863530413712,52.25318531870826
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,mode,4,True,,0.02402536602881849,0.021783992313395954,0.002241373715422535,9.329196952645805
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,mode,5,True,,0.02013816005417977,0.018498624139808312,0.001639535914371458,8.141438492694691
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,mode,6,True,,0.01845260267923963,0.02478476778054629,0.006332165101306662,34.31583723650407
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,modal_vector_summary,0,True,,0.04239244672335713,0.048015138330918514,0.011600240354871696,27.36393214237447
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.808081,81,field,0,True,,0.11539711170018911,0.12455256447585847,0.009155452775669357,7.933866490052154
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,mode,1,False,endpoint_requires_extrapolation,0.010422392259940206,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,mode,2,False,endpoint_requires_extrapolation,0.016845529004073965,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,mode,3,False,endpoint_requires_extrapolation,0.025473203200739758,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,mode,4,False,endpoint_requires_extrapolation,0.02640116608105241,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,mode,5,False,endpoint_requires_extrapolation,0.021855989850820032,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,mode,6,False,endpoint_requires_extrapolation,0.023599892982535727,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,modal_vector_summary,0,False,endpoint_requires_extrapolation,0.05265874097183616,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,empirical_primary,1.909091,91,field,0,False,endpoint_requires_extrapolation,0.1258262130642941,,,
validation_selected_rank,6,fitting,observed_numbered_windows,leave_one_parameter_out_interpolation,inverse_sqrt_sensitivity,1.0,1,mode,1,False,endpoint_requires_extrapolation,0.006939082335958781,,,
