model,rank,case_set,case_identifier,evaluation_role,uncertainty_source,duration_scaling,size_ratio,source_simulation,mode,truth_field_norm,projected_coefficient,predicted_coefficient,coefficient_error_absolute,coefficient_error_percent,modal_uncertainty_absolute,modal_uncertainty_percent,coefficient_error_to_uncertainty_ratio,mode_ratio_stable,uncertainty_rule_frozen_before_evaluation,external_test_used_for_selection
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,10,13.789162595949454,0.011264971931399777,0.0028512908969617334,0.008413681034438044,0.06101662066781017,0.01724829520480239,0.12508587874559585,0.48779783361404017,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,11,13.789162595949454,0.00548735759980832,-0.013651334258611538,0.01913869185841986,0.13879517139091405,0.01644977159729357,0.11929492804824612,1.1634624678660395,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,12,13.789162595949454,0.005663691486437603,0.00796977871618267,0.0023060872297450677,0.01672391063415611,0.010508654402447764,0.07620951837593579,0.21944648110303394,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,13,13.789162595949454,-0.016186577927161903,0.0021791524272532633,0.018365730354415168,0.13318959890871165,0.019623247896359716,0.14230920666729982,0.9359169517408059,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,14,13.789162595949454,-0.00013158170670884222,-0.0015453128547130712,0.001413731148004229,0.010252480077503113,0.016790092626443737,0.1217629606556079,0.08420031857225481,True,True,False
paper_rank15,15,external,external_simulation_10,external,interpolated_external,inverse_sqrt_sensitivity,1.3125,10,15,13.789162595949454,-0.003071657872071851,-0.0020999133885664274,0.0009717444835054237,0.0070471609624131355,0.018767318651572728,0.1361019461550595,0.05177854660788157,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,1,13.992508553246099,-13.982663484232704,-14.039715271970966,0.057051787738261694,0.4077309477507973,0.009781518882886196,0.06990539863287772,5.832610295122963,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,2,13.992508553246099,-0.23294164722531308,-0.1561362877235431,0.07680535950176998,0.5489034307858403,0.02132966205133249,0.15243629811027884,3.6008709053583834,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,3,13.992508553246099,-0.4647726686816865,-0.49670184799825834,0.031929179316571854,0.22818767053149064,0.026184426785099753,0.18713175472045912,1.2193957720984425,True,True,False
paper_rank15,15,external,external_simulation_6,external,interpolated_external,empirical_primary,1.375,6,4,13.992508553246099,0.011107823195160363,0.01946666975711102,0.008358846561950656,0.05973801288126782,0.021028519913158964,0.15028413120591297,0.397500470621328,True,True,False
